marker_category,cell_type,pearson_r,pearson_p,spearman_r,spearman_p
Ependymal,Cluster_46_Vascular,,,,
Ependymal,Cluster_47_Ependymal,,,,
Ependymal,Cluster_48_Neurons,,,,
Ependymal,Cluster_49_Neurons,,,,
Ependymal,Cluster_52_Neurons,,,,
Ependymal,Cluster_54_Neurons,0.06653648999120106,0.0022288357236377354,0.13555587667739055,4.054615847081528e-10
Ependymal,Cluster_58_Neurons,0.05889815961400659,0.006805442421972844,0.09425488006459791,1.4466109267014812e-05
Ependymal,Cluster_61_Neurons,,,,
Ependymal,Cluster_62_Neurons,,,,
Ependymal,Cluster_69_Vascular,0.1529537292072592,1.6256573236094398e-12,0.1623409316169007,6.261794346533768e-14
Ependymal,Cluster_70_Vascular,0.15863704861028555,2.3172374038112706e-13,0.1564097343557549,5.015034284616878e-13
Ependymal,Cluster_73_Blood,0.16423526531925045,3.168735426128594e-14,0.16550738702356751,1.9964828416026523e-14
